Key,English
dkGSKSomeSchematicBundlesBundle,"Open this to get some schematics bundles related to the item's bundles.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperSomeSchematicBundles:0)}): 1*({cvar(iGSKSomeSchematicBundlesBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  GSKTheNoMadOverhaulCreateRespawnBundleForgeCraftingSchematics+1, GSKTheNoMadOverhaulCreateRespawnBundleExploringVisibilitySchematics+1, GSKTheNoMadOverhaulCreateRespawnBundleExploringMobilitySchematics+1, GSKTheNoMadOverhaulCreateRespawnBundleCombatWeaponsSchematics+1, GSKTheNoMadOverhaulCreateRespawnBundleElctrnEnergySchematics+1, GSKTheNoMadOverhaulCreateRespawnBundleHealingHarmSchematics+1, GSKTheNoMadOverhaulCreateRespawnBundleHealingFeedSchematics+1, GSKTheNoMadOverhaulCreateRespawnBundleHealingHPSchematics+1, GSKTheNoMadOverhaulCreateRespawnBundleFarmingSchematics+1\n "
GSKTheNoMadOverhaulBundle,"[NoMad]BD:TheNoMadOverhaul "
_AUTOGENCODE_CREATEBUNDLES_END,"ABOVE:===== DO NOT MODIFY, USE THE AUTO-GEN SCRIPT: createBundles.sh ====="





dkGSKTheNoMadOverhaulBundle,"(read this if you did not teleport underground)\nSURVIVE THE FIRST MINUTES:\nYou can open this bundle now or craft for free (once) any resurrect bundle.\nThen open the MinimalSurvivalKit.\nYou can read this again on a copy note.\nAs soon you open this you should quickly:\n - place a bed\n - use Steroids\n - equip armor (if you open the combat bundle)\n - place gun AND AMMO on your belt (combatBundle)\n - use strong or slow anti-radiation chem\n - read the RED notes."

GSKNoteStartNewGameSurvivingFirstDay,"Veteran self note"
dkGSKNoteStartNewGameSurvivingFirstDay,"If this zone is radiactive wasteland, if possible I must wait for the night then go North-West, to the desert as it has no radiation, the dry air is good to lower the miasma and anti-heat clothes are easier to craft. Before moving out I must equip my bow, but I need to avoid combat til I have found some high building to defend myself. Better I read as much of these notes I can, the world has changed and they may help to keep me alive. As soon I feel ready I should move to the forest, then to the snow region and finally look for goods in the radiactive wasteland, I heard there is a big town there!"






GSKTheNoMadCreateRespawnBundle,"[The NoMad] Resurrect Starter Bundle"

_AUTOGENCODE_CREATEBUNDLES_CRAFTBUNDLES_BEGIN,"BELOW:===== DO NOT MODIFY, USE THE AUTO-GEN SCRIPT: createBundles.sh ====="
dkGSKTheNoMadCreateRespawnBundle,"'CB:' items are craftable freely (can be dropped). Don't rush to your backpack. Each bundle has (exp penalty). Resurrecting adds 1 to remaining bundles (least a few like schematics, maps..) that you can open (up to {cvar(iGSKFreeBundlesRemaining:0)} now). :  ForgeCraftingSchematics={cvar(iGSKRespawnItemsBundleHelperForgeCraftingSchematics:0)}(4000), ExploringNPC={cvar(iGSKRespawnItemsBundleHelperExploringNPC:0)}(6836), ExploringVisibility={cvar(iGSKRespawnItemsBundleHelperExploringVisibility:0)}(5409), ExploringVisibilitySchematics={cvar(iGSKRespawnItemsBundleHelperExploringVisibilitySchematics:0)}(1600), ExploringMobility={cvar(iGSKRespawnItemsBundleHelperExploringMobility:0)}(22860), ExploringMobilitySchematics={cvar(iGSKRespawnItemsBundleHelperExploringMobilitySchematics:0)}(1601), ExploringETC={cvar(iGSKRespawnItemsBundleHelperExploringETC:0)}(2981), CombatWeapons={cvar(iGSKRespawnItemsBundleHelperCombatWeapons:0)}(23215), CombatWeaponsSchematics={cvar(iGSKRespawnItemsBundleHelperCombatWeaponsSchematics:0)}(1300), CombatArmorHelmet={cvar(iGSKRespawnItemsBundleHelperCombatArmorHelmet:0)}(775), CombatArmor={cvar(iGSKRespawnItemsBundleHelperCombatArmor:0)}(301), TeleportHelpers={cvar(iGSKRespawnItemsBundleHelperTeleportHelpers:0)}(3499), ElctrnEnergy={cvar(iGSKRespawnItemsBundleHelperElctrnEnergy:0)}(9338), ElctrnEnergySchematics={cvar(iGSKRespawnItemsBundleHelperElctrnEnergySchematics:0)}(2900), HealingHarm={cvar(iGSKRespawnItemsBundleHelperHealingHarm:0)}(1536), HealingHarmSchematics={cvar(iGSKRespawnItemsBundleHelperHealingHarmSchematics:0)}(2300), HealingRads={cvar(iGSKRespawnItemsBundleHelperHealingRads:0)}(3055), HealingFeed={cvar(iGSKRespawnItemsBundleHelperHealingFeed:0)}(926), HealingFeedSchematics={cvar(iGSKRespawnItemsBundleHelperHealingFeedSchematics:0)}(800), HealingHP={cvar(iGSKRespawnItemsBundleHelperHealingHP:0)}(769), HealingHPSchematics={cvar(iGSKRespawnItemsBundleHelperHealingHPSchematics:0)}(1000), HealingCraft={cvar(iGSKRespawnItemsBundleHelperHealingCraft:0)}(1587), Farming={cvar(iGSKRespawnItemsBundleHelperFarming:0)}(938), FarmingSchematics={cvar(iGSKRespawnItemsBundleHelperFarmingSchematics:0)}(1200), BasicCampingKit={cvar(iGSKRespawnItemsBundleHelperBasicCampingKit:0)}(1740), MinimalSurvivalKit={cvar(iGSKRespawnItemsBundleHelperMinimalSurvivalKit:0)}(2344), Maps={cvar(iGSKRespawnItemsBundleHelperMaps:0)}(20001), SomeSchematicBundles={cvar(iGSKRespawnItemsBundleHelperSomeSchematicBundles:0)}(1),"
GSKTheNoMadOverhaulCreateRespawnBundleForgeCraftingSchematics,"[NoMad]CB:ForgeCraftingSchematics"
GSKTheNoMadOverhaulCreateRespawnBundleExploringNPC,"[NoMad]CB:ExploringNPC"
GSKTheNoMadOverhaulCreateRespawnBundleExploringVisibility,"[NoMad]CB:ExploringVisibility"
GSKTheNoMadOverhaulCreateRespawnBundleExploringVisibilitySchematics,"[NoMad]CB:ExploringVisibilitySchematics"
GSKTheNoMadOverhaulCreateRespawnBundleExploringMobility,"[NoMad]CB:ExploringMobility"
GSKTheNoMadOverhaulCreateRespawnBundleExploringMobilitySchematics,"[NoMad]CB:ExploringMobilitySchematics"
GSKTheNoMadOverhaulCreateRespawnBundleExploringETC,"[NoMad]CB:ExploringETC"
GSKTheNoMadOverhaulCreateRespawnBundleCombatWeapons,"[NoMad]CB:CombatWeapons"
GSKTheNoMadOverhaulCreateRespawnBundleCombatWeaponsSchematics,"[NoMad]CB:CombatWeaponsSchematics"
GSKTheNoMadOverhaulCreateRespawnBundleCombatArmorHelmet,"[NoMad]CB:CombatArmorHelmet"
GSKTheNoMadOverhaulCreateRespawnBundleCombatArmor,"[NoMad]CB:CombatArmor"
GSKTheNoMadOverhaulCreateRespawnBundleTeleportHelpers,"[NoMad]CB:TeleportHelpers"
GSKTheNoMadOverhaulCreateRespawnBundleElctrnEnergy,"[NoMad]CB:ElctrnEnergy"
GSKTheNoMadOverhaulCreateRespawnBundleElctrnEnergySchematics,"[NoMad]CB:ElctrnEnergySchematics"
GSKTheNoMadOverhaulCreateRespawnBundleHealingHarm,"[NoMad]CB:HealingHarm"
GSKTheNoMadOverhaulCreateRespawnBundleHealingHarmSchematics,"[NoMad]CB:HealingHarmSchematics"
GSKTheNoMadOverhaulCreateRespawnBundleHealingRads,"[NoMad]CB:HealingRads"
GSKTheNoMadOverhaulCreateRespawnBundleHealingFeed,"[NoMad]CB:HealingFeed"
GSKTheNoMadOverhaulCreateRespawnBundleHealingFeedSchematics,"[NoMad]CB:HealingFeedSchematics"
GSKTheNoMadOverhaulCreateRespawnBundleHealingHP,"[NoMad]CB:HealingHP"
GSKTheNoMadOverhaulCreateRespawnBundleHealingHPSchematics,"[NoMad]CB:HealingHPSchematics"
GSKTheNoMadOverhaulCreateRespawnBundleHealingCraft,"[NoMad]CB:HealingCraft"
GSKTheNoMadOverhaulCreateRespawnBundleFarming,"[NoMad]CB:Farming"
GSKTheNoMadOverhaulCreateRespawnBundleFarmingSchematics,"[NoMad]CB:FarmingSchematics"
GSKTheNoMadOverhaulCreateRespawnBundleBasicCampingKit,"[NoMad]CB:BasicCampingKit"
GSKTheNoMadOverhaulCreateRespawnBundleMinimalSurvivalKit,"[NoMad]CB:MinimalSurvivalKit"
GSKTheNoMadOverhaulCreateRespawnBundleMaps,"[NoMad]CB:Maps"
GSKTheNoMadOverhaulCreateRespawnBundleSomeSchematicBundles,"[NoMad]CB:SomeSchematicBundles"
_AUTOGENCODE_CREATEBUNDLES_CRAFTBUNDLES_END,"ABOVE:===== DO NOT MODIFY, USE THE AUTO-GEN SCRIPT: createBundles.sh ====="






_AUTOGENCODE_CREATENOTESTIPS_BEGIN,"BELOW:===== DO NOT MODIFY, USE THE AUTO-GEN SCRIPT: createNotesTips.sh ====="
dkGSKNoteStartNewGame101," Place a bed! Equip armor (with Elctrn mods).\n Equip molotovs or stungrenades, the gun and reload it.\n Find a place to hide and use some anti-rads as soon you need.\n If you first spawned in snow or radioactive wasteland, and find out you need to relocate to desert or pine forest, \nread Elctrn devices section about Teleportation and do not equip your Elctrn Teleport mod yet as it will get damaged, \nprepare yourself for the Teleport To Sky activation, and do it calmly and carefully, read all related info before \nproceding!\n Cook (and plant) some pine seeds.\n Refuel your torch and recharge your battery.\n"
dkGSKNoteStartNewGame102," Completely fill up your belt carefully, suggestion: gun, ammo, bandages, antirad, batteries, bed, torch, bow, arrows, \nsplint.\n Wait for the night time to explore, with a bow in hand, some stones and use NV.\n Don't leave the area you woke up until you feel prepared.\n Read any schematics you want, but I suggest reading them all as traders' inventory are empty now. They are meant to \nprovide basic (a bit more than minimal) survival conditions and access to otherwise (probably) unavailable \nfunctionalities that provides a broader experience.\n Read all the notes, preferably in order.\n !Find someone to hire (read NPC section)!\n But if you die, remember that you can craft a new starter bundle, so you do not need try to spawn on your bed.\n"
dkGSKNoteStartNewGame103," Free bundles are not so free as there is an experience debit time depending on how expensive each is.\n NPCs following you will also decrease your experience income based on how much they are helping.\n The max debit will decrease your experience gain by 95%.\n The max debit happens if you open all possible free bundles at once several times after many resurrections (this is \nthe max reference value).\n The debit remaining time will decrease {cvar(.fGSKExpDebtDecPerSec:0.00)}/s.\n The debit percent will is based on the current/max exp debit ratio.\n There are 2 items you can craft with coins to lower your debit by 1K or 10K. You can wait for the debit to end tho, \nthis is recommended to play like that if you want a more challenging start.\n"
dkGSKNoteStartNewGame104," Install thorns as soon you can and make it sure it is working (look on the HUD).\n !Craft a bow to let you kill zombies at night w/o being detected.\n !Craft a spear to let you spare bullets.\n !Finish rad zombies first as they heal the others.\n Dodge always: let one reach you, step backward and hit the head, good timing and good aim may save you.\n Build mini structures to keep zombies away while you kill them with the spear (1 block tall, 1 space between, then \nanother 2 blocks tall. then jump from 1bt to 2bt).\n Melee weapons now let you parry damage, the higher the tier the better (ETC*4).\n Melee hit a foe and jump, you will kick and knock it down.\n Dodge chance by crouching, standing and jumping.\n"
dkGSKNoteStartNewGame105," Place your bed far away from the combat zone of the blood moon day. It is important to keep your bed in a safe place \nfar away from the ranged attacks and explosions. Resurrecting on it may also not be a good idea as you will lure mobs \nnear it, unless you are lucky and also quickly run away from it.\n"
dkGSKNoteStartNewGame106," Some NPCs can be hired. Melee ones are much cheaper, but they can at least be the tank.\n FollowerLimit: If you equip a ranged weapon, the ranged NPC limit that can follow you will be only one. If you unequip \nthe ranged weapon (melee build (ETC*4)), the limit of ranged NPCs that can follow you is based on your charisma: c1=f1 \nc2c3=f2 c4=f3. There is no limit to melee followers (other than how many your CPU can handle). You can also craft an \nitem that will keep many followers around for short time NPCPreventDismiss60s.\n She have a strike limit (a limit of how many times they can hit enemies), after that they will be auto-dismissed (but \nyou can dismiss before that limit to 'refill' their ammo thru re-hiring), and just before that you will hear a sound \ncoming from her.\n ExpPenalty: Everytime a follower hits an enemy you will receive a small experience penalty that will wear off with \ntime.\n"
dkGSKNoteStartNewGame107," You can 'craft a power armor' for the one following you (it is +- the price difference from a NPC that comes with \npower armor already).\n Everytime you re-hire a NPC that did not came with power armor, you have to re-craft the power armor item for her as \nthe previous one will be lost (the reason is the price difference from the NPC that already comes with power armor, to \nkeep prices even).\n You can craft healing items for your follower, but she needs to be nearby or it wont heal her.\n Her armor will not last forever, so eventually you will need to hire another follower.\n Keep your coins to keep your NPC follower around.\n When exploring (T.E.*1)\n"
dkGSKNoteStartNewGame108," Don't be fooled tho... trying to save them will most likely get you killed. Ranged ones with automatic guns are more \nhelpful. But anyway, it is usually better to leave them in a safe place while you explore a new POI.\n If you are teleported underground by a cosmic ray strike and you have followers, they probably wont be teleported down \nthere with you. If that happens, you can dig a bigger place around, big enough to let you place the \nvehicleGSKNPChelperPlaceable so you can bring them to where you are. Remember also that they may be holding fire if you \nwere sneaking at night, and you have to let them fight while you prepare the place to call them to you. Another tip is \nthat there probably are many zombies up there and you can use them to dig the ground above for you, just be prepared to \nwhen they reach you!\n When you reach a new POI, try to place your followers waiting on some safe spot (usually on the top of the building) \nwhile you clean it from sleepers, just remember to run back to them if you need.\n"
dkGSKNoteStartNewGame109," Obs.: the NPC armor is only repaired after being hit, so the repair value will remain high and the armor damage too \ntil that happens.\n PS.: beware, they may push you from edges when being teleported to you.\n"
dkGSKNoteStartNewGame110," Think before moving away from a safe location. Tall buildings may not be so safe as there are probably more radiactive \nzombies. Think what you must do between one location to another.\n NPC: (*1) A NPC that is in hunting mode will attract more foes and it may become impossible to save it from death, so \nbetter put it in full control mode or just to follow you, and dont forget to give it a custom power armor. Also, drink \n3 beers and sneak-run at nigh, this will help zombies lose track of the NPC.\n NPC: Craft and enable GSKCFGNPCproperSneakingWorkaround too if you prefer, so enemies lured by your follower NPC will \nbe knock down and made invencible for some time, but only if you do not attack nor get nearby another standing NPC \n(W*5) nor equip any light source (throw glow sticks instead). Hunting is not advised unless you are really careful as \nwith any mistake things will go crazy really quick, so better ignore other NPCs you find on your way unless you feel \nready to beat a horde at night.\n"
dkGSKNoteStartNewGame111," !Night: Walk at night, even w/o nightvision, throw rocks to move zombies and reach quest targets safely.\n Night: Remember that the night is your friend but don't be careless!\n Night: Use glowing sticks do not require equiping a torch or flash light for some time while you still do not have \nhead light or have not yet fully repaired your NV device. Scientists found that for some reason, zombies can't see this \nlight, what makes it a safe light source (ETC*5).\n Place as many beds you need, avoid moving too far w/o placing a bed.\n Suggested initial skills: Run&Gun, Rule1Cardio, AnimalTrack (this will also let you track radiated zombies).\n If you find a new place, before going to it, stop and think beforehand how to use it to survive and focus on doing \nthat initially.\n Keep an eye on the clock, zombies spawn times are critical now.\n"
dkGSKNoteStartNewGame112," If you are alone, as soon you find a good place, try to wait a few days, some NPC may show up that may agree on being \nhired.\n Your noises will be muffled if you are in rain (ETC*3).\n AirDrops: When tracking an air drop, mark where you are named like AirDropFrom and mark the direction where it will \nland like AirDropTo. When you go search for it, place a quick waypoint at AirDropFrom, and track AirDropTo. That line \nis your reference to find it. It makes sounds now if you are near.\n UndergroundPOIs: to initiate it's ceilig collapsing, you can destroy something on the surface or place a block there. \nThere is a smoke hint too nearby.\n After you place a bed, do not step on it as there may have a cosmic ray there, or place where you already walked.\n Avoid moving near vehicles, there may have a cosmic ray there and the explosion may kill you (WOR*4).\n"
dkGSKNoteStartNewGame113," Stay away from zombies reach as much you can.\n !Quickly reach any wall and place a ladder on 3rd block high.\n !Block their path and fix your barricade, use trussing frame that is fast to place (no need to rotate), you can shoot \nthru and you can place traps and pick up drops thru too.\n !Keep always in mind your nearest/best escape route, you will often need it.\n Use the 1blockCrouch feature to design escape routes.\n Always close the doors behind you!\n Climb up ladders looking to the behind and downwards while moving backwards so you are not surprised by sleepers.\n"
dkGSKNoteStartNewGame114," On blood moons prefer large buildings so you can run far away from explosions and place a bed a bit far from where you \nare defending, that also have full walls at the floor level that takes longer for the zombies to destroy, and \npreferably with many trap holes around them so you can try to lure zombies to each.\n"
dkGSKNoteStartNewGame115," Infiltrate buildings from the top, so you have a chance to spot sleeping zombies (but, a cosmic ray may hit you and \nmake you fall thru, beware).\n Be careful while infiltrating buildings, always block paths before advancing, always place a ladder (one at 3 blocks \nhigh) to jump and get out of their reach inside the building.\n Before Infiltrating buildings, make sure you have some anti radiation chems ready, the strong one and the resistance \nat least.\n And remember that walking on the edges of buildings' roof top is the best option against cosmic ray explosions.\n Mutant essence may help against cosmic ray strikes.\n On the other hand, infiltrating from below may help on prevent falling near sleeping zombies from a cosmic ray \nexplosion hole.\n"
dkGSKNoteStartNewGame116," Electronic devices (TVs, Computers etc) have silver and gold that you can use to create and upgrade Elctrn mods.\n You can create battery charges on the run or on workbenches and chem stations. But you will charge much more if you \nplace 2 NVBatteryChargePosts and step between them. You will need at least 6 tier 1 batteries to do that tho as 2 posts \nrequire 160w. You can use other generators also with the posts of course.\n These devices will degrade and malfunction, so keep them repaired.\n Some electric devices consume a bit battery energy if they are in the standby mode and a lot more when they are \nactively used:\n Energy can be negative, so you can use some devices (like teleport) one last time. It will stay negative until you \ncharge it. Many devices will stop working when it is negative.\n If you die, they all will be deactivated, so you have to remove and equip your armor parts again.\n"
dkGSKNoteStartNewGame117," - Battery: Will increase the battery capacity a lot for each level you upgrade it. Overcharing a battery will get you \nshocked so be careful!\n - ElctrnThorns: Will let you have some time to react after being hit, and it can be installed on ranged and melee \nweapons and tools too.\n - EnergyShield: Will be like a second whole body armor on the highest upgrade level. But the heavier armor you are \nalready using, the more energy will be consumed per hit.\n - Harvest: Will transform most of the shock damage you receive into battery charge. Try hitting a functional vending \nmachine, but be ready to heal yourself too.\n - Hero: Will let you jump much higher, run much faster, will enable a thorns burst nova (if thorns mod is installed), \nbut will cause damage while it is active and will consume a lot of battery energy.\n"
dkGSKNoteStartNewGame118," - Teleport: This is a highly unstable tech device at low teleport mod levels. Will let you teleport nearby or to the \nsky (TechNote*1), but if too damaged it may enter in a destructive loop. Be careful when using this mod! If you are \nwell trained in related skill it will be damaged less when used. It will shock you and increase your radiation, be \nprepared to heal yourself fast. Avoid using it near your camp, and if chaos begin, keep trying to open inventory and \nthen unequip the armor part with the teleport mod or it may be fatal! Teleporting to sky will highly damage your mod \nand may destroy it. Avoid using if the mod is damaged beyond {cvar(iGSKDmgSafePercTPShow:0)}% as it may teleport you \nwrongly! Btw, if you teleport over or near a car, you may probably die (even if the car do not explode (WOR*4)).\n"
dkGSKNoteStartNewGame119," [NightVision, Flashlight and Headlight]\n - They consume battery when active and have no standby.\n - If battery is too low, they will start blinking Off/On for a short time.\n - If battery is depleted they will blink On/Off from time to time and will keep an energy debit that you will need to \ncharge later.\n - If you get hit while they are active, they will degrade faster and they will blink for a short time. \n - They will slowly degrade if inactive.\n"
dkGSKNoteStartNewGame120," NearDeathConditions: There are several near death conditions that increase in level based in time or intensity. Each \nlevel will slow your movement, attacks, will mess your vision and slowly damage your health and lower your max health \nand stamina.\n - CosmicRayBeamsRadiation: This world is pierced by Cosmic Rays Beams (strong Cosmic Radiation), from tiny holes in \nthe Ozone Layer, in many places. It is invisible, and if you stay too long on the spot you will die. Hazmat suit can't \nprotect you from it. And when it strikes you, the surrounding nearby environment will disintegrate and you may get \nteleported too. It will also very slowly damage your DNA. Avoid also moving over or near vehicles because you will be \ndamaged too (WOR*4). Blood Moon interferes with cosmic rays and actually helps and heals you.\n"
dkGSKNoteStartNewGame121," - (NDC)Miasma: You can clean miasma by taking a bath (diving), also by using jars of water with the secondary action. \nMiasma will make you vomit and lose a bit of food and water. This is worse in pine forest. Harvesting corpses will also \nincrease your miasma and to properly harvest it is better to first do a careful weak strike (that will activate the \nfull harvesting amount for a few seconds) and then you can do strong strikes to cut more. Corpse bags requires stepping \nover them to properly harvest tho.\n - (NDC)Cold and Heat: equip related protection cloths and mods, but you need to keep them repaired too or they wont \nprotect you. Check your CoreTemperature(CT) on the ElctrnHUD, should be > -10. You can combat overheating eating \nsnowballs but it may be dangerous.\n - (NDC)Dry Air: in hot desert environment you need to keep well hydrated all the time, if not even your nose may bleed.\n - (NDC)Frostbyte: may happen rarely but with a big value. You can overheat to cure frostbyte faster.\n"
dkGSKNoteStartNewGame122," - (NDC)Radiation: wasteland biome has 'natural' radiation, better move away initially until you find some hazmat suit \nparts. Use anti-radiation chems. The radiation resistance chem, when using above it's time limit, it will increase the \nradiation resistance a little bit. Can be harvested from mutant bunnies.\n - (NDC)Poison: slowly kills you, use anti-poison prepared from snakes and spiders' poison (ETC*1).\n - (NDC)BloodLoss: if you lose too much blood you will eventually die. You can harvest your own blood using medical \nblood bags. Use blood bags to restore your lost blood. For now every blood bag is O-.\n - (NDC)HitpointBlockage by chem usage: after you use chems to increase any power in any way, you have to wait or use \nhealing, healthy or feeding items to recover. Obs.: The related HUD info may take some time to update.\n - (NDC)Bloated: eating too much will be dangerous. Try the vomit activator if you are unable to lower it in time.\n"
dkGSKNoteStartNewGame123," - (NDC)Overhydration: too much water is extermely dangerous, some consumables can lower your water level. Try the \nvomit activator if you are unable to lower it in time.\n"
dkGSKNoteStartNewGame124," - (Tip)In any biome, 100% sheltered is the best option to survive at lower levels.\n - (Tip)Survive Worst Cold in SnowBiome, minimum required: 100% sheltered inside 10 cube blocks (no doors) at midnight \nand snow falling, with a lit campfire (just outside shelter, and always leave some extra wood and torch fuel on it), a \ntorch and a full set of fiber clothes, poncho and bandana, all easy to craft.\n - (Tip)Shelter can be this shape: (this can be considered a glitch, if you dont like it dont try to read it) \nP.lL#oAc_TaE*l\n - (Tip)Rain blurs vision: while it is raining your vision may randomly blur. You can drink it, and it may be \ndangerous, but the Water Purifier mod will protect you. You can enable drinking rain using GSKCFGDrinkRainAllowed.\n"
dkGSKNoteStartNewGame125," - (Tip)Exercise and stay fit as too much food will increase your body fat, lower your maximum stamina, your run speed, \nincrease your stumble chances from falling down, tho some extra fat will help you if you are starving and help to \nprevent hold up from dog byte and knockdown from big foes strikes.\n"
dkGSKNoteStartNewGame126," Honor the courage and the blood of many good warriors by reading this bestiary carefully.\n MutantBunny: A heavly mutated bunny with psyonic powers (ETC*1). It wont hunt you. It will damage you from far away \n(chances are lowered when sheltered) and run away. It is a good source of anti-radiation chemicals.\n MutantZombie: Apparenly, after eating too many mutant bunnies, it seems to think like a bunny now (after all, you are \nwhat you eat right?), but this one will hunt you. Be careful when hitting them, they can make you teleport randomly \n(ETC*1)(ETC*2).\n RadiatedVultures: Ate a lot of mutant bunnies and have psyonic powers too now (ETC*1). It is a good source of \nanti-radiation chemicals.\n Spiders and snakes: they will poison you and are also your source of poison to make anti-poison and use in arrows \n(ETC*1).\n"
dkGSKNoteStartNewGame127," Spiders: throw spider net that will almost prevent you from moving and attacking. Equip a melee weapon, crouch, stand \nup and jump to try to break free.\n Radiactive zombies: they will regenerate all nearby zombies, so kill them first! they also will harm you from far away \nadding radiation to your body (ETC*1).\n WightZombies: they are the fastest runners and almost immune to damage, watch out! Obs.: The few that survived it's \nattacks said that they don't seem to like glowing sticks light.\n Beasts with fangs (wolves, dogs, coyotes, bears, boars) may hold you up for a few seconds (ETC*1).\n Bears and boars may knock you down (ETC*1).\n"
dkGSKNoteStartNewGame128," - (Tip)MonsterEssences: Will accumulate in your body improving you while they are active. The more you use in a short \ntime (stacking) the more side effects may happen. When you resurrect all accumulated essences will be zeroed (DNA full \nhealing).\n Obs.: in general, these monsters are more prone to thrive (being more powerful and dangerous) in pine forest biome.\n"
dkGSKNoteStartNewGame129," Be sure to carefully charge the battery to not get shocked.\n A makeshift wrench will help but keep it repaired or it may break!\n If something appears to not be working, make it sure they are in good repair condition and if they require energy do \nrecharge batteries and fill up fuel.\n You can repair items more carefully by removing most repair parts of your inventory temporarily, and spend guns' \ncondition before scrapping them.\n"
dkGSKNoteStartNewGame130," Traders: Now they are common but strong survivors doing well, and they are not willing to sell anything. If you want \nanything from them you will have to perform their difficult tasks. But they will still buy anything from you.\n TreasureMaps: raiders want the treasure too now.\n QuestsWithTreasure: raiders want the treasure too now.\n WorkStations: Take your time to gather resources to fix destroyed work stations, so when you find them it will help a \nlot.\n AirDrops: Mark a probability line from where you are to where the airdrop landed so you won't need to rush for it.\n World: This world is meant to be played w/o building a fortress, so keep exploring!\n DiveSwimSpeed: You can swim properly now, much faster than zombies, but blood moon makes the water more dense and \ndifficult to swim.\n"
dkGSKNoteStartNewGame131," Torch: It requires fuel to stay lit. When you attack with it and set a mob on fire, it consumes a lot of fuel. You can \nuse gas or fat as fuel. fuel mods can be converted into an item that when used increase the combustible fuel limit a \nbit. Staying on rain may douse it.\n MapMarkes: Always create map markers with useful info, be careful to avoid confusing descriptions.\n FallingAndKnockdown: everytime you fall, there is a chance for you to stumble and knockdown, higher falls have greater \nchances and damaged legs also increase it, but staying healed will lower these chances. Equipping an Impact Bracing Mod \nwill help a lot, while crouched it will almost not happen and using steroids will almost prevent it.\n (*1) PoisoningEnemies: Enemies that get poisoned by you or another NPC wont be able to use special abilities while the \npoison is active.\n (*2) PsyonicResistance: will protect you against enemies psyonic abilities, including mutant forced teleport.\n"
dkGSKNoteStartNewGame132," (*3) RainDetection: It is not possible to know if it is raining right? so the only way to know that is if the player \nis wet.\n (*4) MeleeBuild: playing only with melee weapons will give some advantages to let it be an option.\n (*5) GlowStickLight: uses the vomit explosion particles that do not seem to create a light that makes the player \ndetectable in darkness?\n (*6) NPCSneakingVStreasureHunt: when digging treasures, if you keep NPC sneaking workaround enabled it may become \nimpossible because you need to stay there. NPC sneaking workaround is meant to keep moving.\n"
dkGSKNoteStartNewGame133," [ GAMEPLAY ]\n After joining a game, always adjust the inventory 'Lock first N slots' otherwise as soon you click sort you lose all \nwork you put on organizing items!\n If you have a NPC following you, and it quickly starts moving very far away very fast, the only thing that will bring \nit back is to mount some vehicle. I was unable to prepare a dummy but working vehicle (based on bicycle) for that \nworkaround.\n If you use some item and nothing happens (like rad resist chem or fast swimming), try crafting and using this item \nGSKWorkAroundFixBuffs to force related buff to kick in initially. Such problem may not happen again after that.\n - (tip) To update the values on the description of any item, just keep moving the cursor over your inventory slots.\n [ ETC ]\n"
dkGSKNoteStartNewGame134," Some buffs descriptions can be found in free craftable notes, they may have dynamic value too.\n If you think new helpful tips could be added, or better explained, drop a comment so I can review it.\n I dont know if I missed something, these tips were created after I coded it all. If you think a new tip should be \nadded, tell me, thx!\n If you are a mod developer, the bash scripts may be useful for you too, but you need Cygwin or Linux to run them.\n The main mod can be still split into several independent mini mods. I may do that someday.\n If something weird, not expected, unintended or not explained happens, please send me some lines from the file \n'Player.log', it may help me recreate the problem.\n"
dkGSKNoteStartNewGame135," [ Workarounds to bugs or other issues ]\n Obs.: Everything here is related to specific versions of the game and mods, so they may not be valid on different \nversions.\n If you can't place a map marker, hit F1 two times (open/close console).\n If you can't type text in any field or if mouse sensitivity becomes super high, hit Alt+Enter to go window mode, move \nthe window down a bit, alt+tab to any other app (or minimize everything to show desktop or hit F12 to open \nguake/yakuake on linux), and directly click on the game window, then hit Alt+Enter again to go full screen.\n To avoid messing the mouse sensitivity, always start the game with the console opened, this prevents game's mouse \ngrabbing while you use other apps.\n"
dkGSKNoteStartNewGame136," If you can't change the wielded item (probably the weapon you just repaired) on hand, and can't use any other item \nfrom inventory, try to unequip or change some armor piece, everything may just work normally again.\n If the rocket from launcher does not hit anything, be sure to wait 1s after it reloads before firing it, do not hold \nthe fire button while it is reloading, you need to wait the animation end and count 1s.\n Before picking up your backpack after resurrecting, put all new items you got into some container to keep the \norganization you had on the backpack.\n (*1) On single player, you can try hitting ESC to let the world be generated while you are falling from the sky, so it \nmay lag less (not sure if this really helps tho...)\n (*2) While falling from the sky, the slow fall trick will unintentionally keep closing your inventory or map, so you \nwont be able to use them properly.\n"
